###	Module	positions	-	created	on	08/26/19	13:22:49	###
###	Printed	by	Pcbnew	version	kicad	(5.1.0)-1
##	Unit	=	mm,	Angle	=	deg.
##	Side	:	All
#	Ref	Val	Package	PosX	PosY	Rot	Side
D1	LED	SFH-4716S	-98.8000	11.8000	0.0000	bottom
D2	LED	SFH-4716S	-105.2000	11.8000	0.0000	bottom
D5	LED	SFH-4716S	-39.8000	11.8000	0.0000	bottom
D6	LED	SFH-4716S	-46.2000	11.8000	0.0000	bottom
D7	LED	SFH-4716S	-10.6000	11.8000	0.0000	bottom
D8	LED	SFH-4716S	-69.1000	11.8000	0.0000	bottom
D9	LED	SFH-4716S	-17.0000	11.8000	0.0000	bottom
D10	LED	SFH-4716S	-75.5000	11.8000	0.0000	bottom
U10	ref	Fiducial_1mm_Mask2mm	-79.0000	35.2500	0.0000	bottom
U11	ref	Fiducial_1mm_Mask2mm	-115.2500	92.0000	0.0000	bottom
C1	0.01u	C_0402_1005Metric	103.7500	83.2000	180.0000	top
C4	0.01u	C_0402_1005Metric	104.2500	93.4500	90.0000	top
C5	1u	C_0402_1005Metric	103.7500	81.9500	180.0000	top
C6	0.01u	C_0402_1005Metric	106.5000	70.4500	90.0000	top
C7	0.01u	C_0402_1005Metric	105.7500	59.9500	180.0000	top
C8	1u	C_0402_1005Metric	110.2500	60.4500	270.0000	top
D3	DIODE	D_0603_1608Metric	108.7500	93.9500	90.0000	top
D4	DIODE	D_0603_1608Metric	110.0000	70.9500	90.0000	top
Q1	NTMS4807NR2G	SOIC-8_3.9x4.9mm_P1.27mm	24.0000	54.7000	270.0000	top
Q2	NTMS4807NR2G	SOIC-8_3.9x4.9mm_P1.27mm	17.2500	55.2000	270.0000	top
Q3	NSVMMBT2222AM3T5G_	SOT-723	106.5000	96.7000	0.0000	top
Q4	NSVMMBT2222AM3T5G_	SOT-723	100.5000	70.5250	270.0000	top
Q5	NTMS4807NR2G	SOIC-8_3.9x4.9mm_P1.27mm	37.5000	53.7000	270.0000	top
Q6	NTMS4807NR2G	SOIC-8_3.9x4.9mm_P1.27mm	30.7500	54.2000	270.0000	top
Q7	NTMS4807NR2G	SOIC-8_3.9x4.9mm_P1.27mm	64.5000	51.7000	270.0000	top
Q8	NTMS4807NR2G	SOIC-8_3.9x4.9mm_P1.27mm	51.0000	52.7000	270.0000	top
Q9	NTMS4807NR2G	SOIC-8_3.9x4.9mm_P1.27mm	57.7500	52.2000	270.0000	top
Q10	NTMS4807NR2G	SOIC-8_3.9x4.9mm_P1.27mm	44.2500	53.2000	270.0000	top
R1	10k	R_0603_1608Metric	77.5000	99.2000	270.0000	top
R2	2	R_2512_6332Metric	72.7500	67.9500	0.0000	top
R3	2	R_2512_6332Metric	72.7500	72.7000	0.0000	top
R4	2	R_2512_6332Metric	72.7500	77.4500	0.0000	top
R5	2	R_2512_6332Metric	72.7500	62.9500	0.0000	top
R6	10k	R_0603_1608Metric	82.7500	80.4500	270.0000	top
R7	2	R_2512_6332Metric	64.0000	67.9500	180.0000	top
R8	2	R_2512_6332Metric	64.0000	62.9500	180.0000	top
R9	2	R_2512_6332Metric	64.0000	77.4500	180.0000	top
R10	2	R_2512_6332Metric	64.0000	72.7000	180.0000	top
R11	10k	R_0603_1608Metric	82.7500	83.4125	90.0000	top
R12	10k	R_0603_1608Metric	98.2500	85.9500	270.0000	top
R13	10k	R_0603_1608Metric	103.7500	97.7000	180.0000	top
R14	22k	R_0603_1608Metric	101.7500	91.7000	180.0000	top
R15	4.7k	R_0603_1608Metric	103.7500	95.9500	0.0000	top
R16	10k	R_0603_1608Metric	103.7500	78.7000	90.0000	top
R17	22k	R_0603_1608Metric	106.7500	93.9125	270.0000	top
R18	10k	R_0603_1608Metric	101.7500	78.7000	90.0000	top
R19	20k	R_0603_1608Metric	108.7500	89.6625	270.0000	top
R20	4.7k	R_0603_1608Metric	100.9625	72.4500	180.0000	top
R21	10k	R_0603_1608Metric	102.2500	70.1625	270.0000	top
R22	10k	R_0603_1608Metric	109.2500	74.7000	0.0000	top
R23	22k	R_0603_1608Metric	108.0000	70.9500	270.0000	top
R24	22k	R_0603_1608Metric	100.2500	62.7000	270.0000	top
R25	100k	R_0603_1608Metric	110.2500	63.9500	270.0000	top
R26	10k	R_0603_1608Metric	97.7500	73.7000	90.0000	top
R27	2	R_2512_6332Metric	55.0000	77.4500	0.0000	top
R28	2	R_2512_6332Metric	55.1000	72.7000	0.0000	top
R29	2	R_2512_6332Metric	55.0000	67.9500	0.0000	top
R30	2	R_2512_6332Metric	55.0000	62.9500	0.0000	top
R31	10k	R_0603_1608Metric	82.7500	73.4500	270.0000	top
R32	2	R_2512_6332Metric	46.0000	62.9500	180.0000	top
R33	2	R_2512_6332Metric	46.0000	67.9500	180.0000	top
R34	2	R_2512_6332Metric	46.0000	72.7000	180.0000	top
R35	2	R_2512_6332Metric	46.0000	77.4500	180.0000	top
R36	10k	R_0603_1608Metric	82.7500	76.4500	90.0000	top
R39	2	R_2512_6332Metric	19.0000	77.4500	0.0000	top
R40	2	R_2512_6332Metric	36.8500	77.4500	0.0000	top
R41	2	R_2512_6332Metric	19.0000	72.7000	0.0000	top
R42	2	R_2512_6332Metric	37.0000	72.7000	0.0000	top
R43	2	R_2512_6332Metric	19.0000	67.9500	0.0000	top
R44	2	R_2512_6332Metric	37.0000	67.9500	0.0000	top
R45	2	R_2512_6332Metric	19.0000	63.2000	0.0000	top
R46	2	R_2512_6332Metric	37.0000	62.9500	0.0000	top
R47	10k	R_0603_1608Metric	82.7500	59.4500	270.0000	top
R48	10k	R_0603_1608Metric	82.7500	66.4500	270.0000	top
R49	2	R_2512_6332Metric	10.2500	63.2000	180.0000	top
R50	2	R_2512_6332Metric	28.0000	63.2000	180.0000	top
R51	2	R_2512_6332Metric	10.2500	67.9500	180.0000	top
R52	2	R_2512_6332Metric	28.0000	67.9500	180.0000	top
R53	2	R_2512_6332Metric	10.2500	72.7000	180.0000	top
R54	2	R_2512_6332Metric	28.0000	72.7000	180.0000	top
R55	2	R_2512_6332Metric	10.2500	77.4500	180.0000	top
R56	2	R_2512_6332Metric	28.0000	77.4500	180.0000	top
R57	10k	R_0603_1608Metric	82.7500	62.4500	90.0000	top
R58	10k	R_0603_1608Metric	82.7500	69.4500	90.0000	top
U1	LMV358	SOIC-8_3.9x4.9mm_P1.27mm	89.0000	81.9500	180.0000	top
U2	NE555DR	SOIC-8_3.9x4.9mm_P1.27mm	103.7750	86.5650	0.0000	top
U3	74LVC2G08	TSSOP-8_3x3mm_P0.65mm	109.0000	78.9500	0.0000	top
U4	NE555DR	SOIC-8_3.9x4.9mm_P1.27mm	105.5000	63.4500	0.0000	top
U5	LMV358	SOIC-8_3.9x4.9mm_P1.27mm	89.0000	74.9500	180.0000	top
U6	LMV358	SOIC-8_3.9x4.9mm_P1.27mm	89.0000	60.9500	180.0000	top
U7	LMV358	SOIC-8_3.9x4.9mm_P1.27mm	89.0000	67.9500	180.0000	top
U8	ref	Fiducial_1mm_Mask2mm	3.7500	44.5000	0.0000	top
U9	ref	Fiducial_1mm_Mask2mm	114.5000	97.7500	0.0000	top
##	End
